,drug_labels,drug_rxcui,indications_label,indications_mondo,indications_umls
114,LEVAQUIN|LEVOFLOXACIN|LEVOFLOXACIN 500 MG|LEVOFLOXACIN 750 MG|LEVOFLOXACIN 750MG TAB|LEVOFLOXACIN ORAL SOLUTION|LEVOFLOXACIN.,82122,Pneumonia|Bacterial infection|Sinusitis|Bronchitis|Urinary tract infection|Diverticulitis|Tuberculosis|Prostatitis|Cystitis|Chronic obstructive pulmonary disease|Ear infection|Staphylococcal infection|Influenza|Cellulitis|Epididymitis|Kidney infection|Pulmonary tuberculosis|Nasopharyngitis|Pneumonitis|Asthma|Acute sinusitis|Pneumonia legionella|Pneumonia bacterial|Respiratory disorder|Chronic sinusitis|Pharyngitis,MONDO:0005249|MONDO:0015575|MONDO:0005961|MONDO:0003781|MONDO:0005247|MONDO:0004235|MONDO:0018076|MONDO:0005280|MONDO:0006032|MONDO:0011751|MONDO:0021666|MONDO:0024313|MONDO:0013855|MONDO:0005230|MONDO:0004779|MONDO:0004369|MONDO:0006052|MONDO:0001040|MONDO:0043905|MONDO:0004979|MONDO:0005961|MONDO:0005824|MONDO:0004652|MONDO:0005087|MONDO:0006031|MONDO:0002258,C0032285|C0004623|C0037199|C0006277|C0042029|C0012813|C0041296|C0033581|C0010692|C0024117|C0699744|C0038160|C0021400|C0007642|C0014534|C0021313|C0041327|C0027441|C3714636|C0004096|C0149512|C0023241|C0004626|C0035204|C0149516|C0031350
115,Ixekizumab|TALTZ,1745099,Psoriasis|Psoriatic arthropathy|Rheumatoid arthritis,MONDO:0005083|MONDO:0011849|MONDO:0008383,C0033860|C0003872|C0003873
116,GLIPIZIDE 10 MG|Glucotrol,4821,,,
117,DASATINIB|DASATINIB.|SPRYCEL,475342,Chronic myeloid leukaemia|Acute lymphocytic leukaemia|Leukaemia|Myeloid leukaemia|Acute myeloid leukaemia|Neoplasm malignant|Chronic lymphocytic leukaemia|Lymphocytic leukaemia|Prostate cancer|Chronic leukaemia|Acute leukaemia,MONDO:0011996|MONDO:0013108|MONDO:0005059|MONDO:0004643|MONDO:0018874|MONDO:0004992|MONDO:0004948|MONDO:0001018|MONDO:0008315|MONDO:0001014|MONDO:0010643,C0023473|C0023449|C0023418|C0023470|C0023467|C0006826|C0023434|C0023448|C0376358|C1279296|C0085669
118,ANSATIPINE|MYCOBUTIN|RIFABUTIN|RIFABUTIN.,55672,Mycobacterium avium complex infection,MONDO:0005866,C0026916
119,THIABENDAZOLE,10450,,,
120,PEGVISOMANT|SOMAVERT,278739,Acromegaly,MONDO:0019933,C0001206
121,ARCAPTA|INDACATEROL,1114326,Chronic obstructive pulmonary disease|Emphysema,MONDO:0011751|MONDO:0004849,C0024117|C0034067
122,ESZOPICLONE|ESZOPICLONE 3 MG|ESZOPICLONE.|LUNESTA,461016,Insomnia|Sleep disorder,MONDO:0013600|MONDO:0003406,C0917801|C0851578
123,Alavert|CLARITIN|LORATADINE|LORATADINE.,28889,Hypersensitivity|Seasonal allergy|Nasopharyngitis|Urticaria|Sinus disorder|Rash|Lacrimation increased|Sinusitis|Rhinitis allergic,MONDO:0005271|MONDO:0005324|MONDO:0001040|MONDO:0005492|MONDO:0001735|MONDO:0006547|MONDO:0001793|MONDO:0005961|MONDO:0011786,C0020517|C0018621|C0027441|C0042109|C0030469|C0015230|C0152227|C0037199|C2607914
124,ACTIVASE|Alteplase|ALTEPLASE.,8410,Ischaemic stroke|Cerebrovascular accident|Acute myocardial infarction|Pulmonary embolism|Myocardial infarction|Cerebral infarction|Cerebral artery occlusion,MONDO:0011057|MONDO:0005098|MONDO:0004781|MONDO:0005279|MONDO:0005068|MONDO:0002679|MONDO:0000944,C0948008|C0038454|C0155626|C0034065|C0027051|C0007785|C0028790
125,FELODIPINE|FELODIPINE.|PLENDIL,4316,Hypertension,MONDO:0005044,C0020538
126,BELVIQ|LORCASERIN|LORCASERIN HYDROCHLORIDE,1300701,Obesity,MONDO:0011122,C0028754
127,LORMETAZEPAM,28894,,,
128,DAUNORUBICIN|DAUNORUBICIN HYDROCHLORIDE|DAUNORUBICIN HYDROCHLORIDE.,3109,Acute myeloid leukaemia,MONDO:0018874,C0023467
129,CRISABOROLE|EUCRISA,1865953,Dermatitis atopic|Eczema|Dermatitis|Psoriasis|Rash,MONDO:0011292|MONDO:0004980|MONDO:0002406|MONDO:0005083|MONDO:0006547,C0011615|C0013595|C0011603|C0033860|C0015230
130,DRONEDARONE|MULTAQ,233698,Atrial fibrillation|Arrhythmia,MONDO:0004981|MONDO:0007263,C0004238|C0003811
131,FIASP|INSULIN ASPART|NOVOLOG|NOVORAPID,51428,Type 2 diabetes mellitus|Type 1 diabetes mellitus|Diabetes mellitus|Gestational diabetes|Hyperglycaemia,MONDO:0015122|MONDO:0009100|MONDO:0015122|MONDO:0007453|MONDO:0002909,C0011860|C0011854|C0011849|C0085207|C0020456
132,AFTERA|FALLBACK SOLO|KYLEENA|LILETTA|MIRENA|MY WAY|NEXT CHOICE ONE DOSE|PLAN B ONE-STEP|Skyla|TAKE ACTION,6373,Endometriosis|Uterine leiomyoma|Adenomyosis|Endometrial hyperplasia,MONDO:0005133|MONDO:0007886|MONDO:0010888|MONDO:0041161,C0014175|C0042133|C0341858|C0014173
133,TEPADINA|THIOTEPA|THIOTEPA.,10473,B-cell lymphoma,MONDO:0004095,C0079731
134,levorphanol|LEVORPHANOL TARTRATE.,6378,,,
135,LOXOPROFEN,28908,,,
136,RAMELTEON|ROZEREM,596205,Insomnia|Sleep disorder,MONDO:0013600|MONDO:0003406,C0917801|C0851578
137,DEFERIPRONE|FERRIPROX,11645,Haemochromatosis|Thalassaemia|Sickle cell anaemia|Thalassaemia beta|Iron overload|Myelodysplastic syndrome,MONDO:0006507|MONDO:0000984|MONDO:0011382|MONDO:0013517|MONDO:0016363|MONDO:0018881,C0018995|C0039730|C0002895|C0005283|C0282193|C3463824
138,ABSTRAL|ACTIQ|DURAGESIC|DUROGESIC|FENTANYL|FENTANYL CITRATE|FENTANYL CITRATE.|FENTANYL TRANSDERMAL SYSTEM|FENTANYL.|FENTORA|IONSYS|LAZANDA|SUBLIMAZE|SUBSYS,4337,Fibromyalgia|Drug abuse|Complex regional pain syndrome|Arthritis|Neuropathy peripheral|Intervertebral disc degeneration|Rheumatoid arthritis|Migraine|Osteoarthritis|Neoplasm malignant,MONDO:0005546|MONDO:0002491|MONDO:0019369|MONDO:0005578|MONDO:0020126|MONDO:0011385|MONDO:0008383|MONDO:0008000|MONDO:0008143|MONDO:0004992,C0016053|C0013146|C0458219|C0003864|C0031117|C0158266|C0003873|C0149931|C0029408|C0006826
139,NAVELBINE|VINORELBINE|VINORELBINE TARTRATE|VINORELBINE TARTRATE.,39541,Breast cancer|Lung neoplasm malignant|Non-small cell lung cancer,MONDO:0007254|MONDO:0008903|MONDO:0005233,C0006142|C0242379|C0007131
140,ASPERCREME WITH LIDOCAINE|EMLA|GLYDO|Lidocaine Injection|LIDODERM|ORAQIX|SOLARCAINE|XYLOCAINE|ZINGO,6387,,,
141,GEMTUZUMAB OZOGAMICIN|MYLOTARG,1294580,Acute myeloid leukaemia,MONDO:0018874,C0023467
142,TABLOID|THIOGUANINE|TIOGUANINE,10485,Acute lymphocytic leukaemia,MONDO:0013108,C0023449
143,KEVZARA|SARILUMAB,1923319,Rheumatoid arthritis,MONDO:0008383,C0003873
144,ACALABRUTINIB.|CALQUENCE,1986808,Mantle cell lymphoma|Chronic lymphocytic leukaemia,MONDO:0018876|MONDO:0004948,C0334634|C0023434
145,DIMETHYL SULFOXIDE|DIMETHYL SULFOXIDE.,3455,,,
146,DALIRESP|ROFLUMILAST|ROFLUMILAST.,1091836,Chronic obstructive pulmonary disease,MONDO:0011751,C0024117
147,Micafungin|Micafungin Injection|Mycamine,325887,Fungal infection|Candida infection|Systemic candida|Aspergillus infection,MONDO:0015578|MONDO:0002026|MONDO:0042233|MONDO:0005657,C0026946|C0006840|C0153252|C0004030
148,CAPTOPRIL|CAPTOPRIL.,1998,Hypertension,MONDO:0005044,C0020538
149,THIORIDAZINE,10502,,,
150,ASENAPINE|ASENAPINE MALEATE|SAPHRIS,784649,Bipolar disorder|Schizophrenia|Depression|Psychotic disorder|Schizoaffective disorder,MONDO:0004985|MONDO:0005090|MONDO:0002050|MONDO:0005485|MONDO:0005487,C0005586|C0036341|C0011570|C0033975|C0036337
151,ZOCOR,36567,Hyperlipidaemia,MONDO:0013577,C0020473
152,Tivicay,1433868,HIV infection,MONDO:0005109,C0019693
153,CONDYLOX|PODOFILOX|PODOFILOX.,8463,,,
154,ALIROCUMAB|PRALUENT,1659152,Hyperlipidaemia|Type IIa hyperlipidaemia|Type V hyperlipidaemia|Arteriosclerosis,MONDO:0013577|MONDO:0007750|MONDO:0007762|MONDO:0002277,C0020473|C0745103|C0020481|C0003850
155,Mepolizumab|NUCALA,1720597,Asthma|Eosinophilic granulomatosis with polyangiitis,MONDO:0004979|MONDO:0015943,C0004096|C0008728
156,ARICEPT|Donepezil|Donepezil Hydrochloride|DONEPEZIL HYDROCHLORIDE.|DONEPEZIL.,135447,Dementia Alzheimer's type|Dementia|Cognitive disorder|Dementia with Lewy bodies|Amnesia|Vascular dementia,MONDO:0004975|MONDO:0001627|MONDO:0002039|MONDO:0007488|MONDO:0001152|MONDO:0004648,C0002395|C0497327|C0009241|C0752347|C0002622|C0011269
157,Aciclovir|ACYCLOVIR|ACYCLOVIR 400 MG|ACYCLOVIR SODIUM|ACYCLOVIR SODIUM.|ACYCLOVIR.|SITAVIG|ZOVIRAX,281,Herpes zoster|Herpes simplex|Encephalitis|Genital herpes|Encephalitis viral|Varicella|Varicella zoster virus infection|Herpes simplex encephalitis|Ophthalmic herpes simplex|Meningoencephalitis herpetic,MONDO:0005609|MONDO:0004609|MONDO:0019956|MONDO:0005770|MONDO:0006009|MONDO:0005700|MONDO:0005608|MONDO:0012521|MONDO:0015288|MONDO:0012521,C0019360|C0019348|C0014038|C0019342|C0243010|C0008049|C0586989|C0276226|C0019357|C0019385
158,ACCOLATE|ZAFIRLUKAST|ZAFIRLUKAST.,114970,Asthma,MONDO:0004979,C0004096
159,KRYSTEXXA|PEGLOTICASE,1011650,Gout,MONDO:0005393,C0018099
160,GEMCITABINE|Gemcitabine Hydrochloride|GEMCITABINE HYDROCHLORIDE.|GEMCITABINE INJECTION|GEMZAR,12574,Pancreatic carcinoma|Adenocarcinoma pancreas|Bladder cancer|Non-small cell lung cancer|Cholangiocarcinoma|Transitional cell carcinoma|Breast cancer|Ovarian cancer|Lung neoplasm malignant|Neoplasm malignant|Bile duct cancer|Hodgkin's disease|Lymphoma|Lung adenocarcinoma|Ductal adenocarcinoma of pancreas|Diffuse large B-cell lymphoma|Squamous cell carcinoma of lung|Bladder transitional cell carcinoma|Adenocarcinoma|Uterine leiomyosarcoma|Mycosis fungoides|Gallbladder cancer|Non-Hodgkin's lymphoma|Osteosarcoma|Hepatocellular carcinoma|Nasopharyngeal cancer|Leiomyosarcoma|Invasive ductal breast carcinoma|Squamous cell carcinoma of head and neck|Germ cell cancer|Plasma cell myeloma|Ovarian epithelial cancer|Peripheral T-cell lymphoma unspecified|Squamous cell carcinoma|Pancreatic neoplasm,MONDO:0016314|MONDO:0006047|MONDO:0001187|MONDO:0005233|MONDO:0019087|MONDO:0006474|MONDO:0007254|MONDO:0008170|MONDO:0008903|MONDO:0004992|MONDO:0005496|MONDO:0009348|MONDO:0005062|MONDO:0008903|MONDO:0005184|MONDO:0018905|MONDO:0005097|MONDO:0005611|MONDO:0004970|MONDO:0016262|MONDO:0009691|MONDO:0018918|MONDO:0011508|MONDO:0021054|MONDO:0007256|MONDO:0015459|MONDO:0005058|MONDO:0004953|MONDO:0010150|MONDO:0006290|MONDO:0009693|MONDO:0018364|MONDO:0000430|MONDO:0000500|MONDO:0009831,C0235974|C0281361|C0005684|C0007131|C0206698|C0007138|C0006142|C1140680|C0242379|C0006826|C0740277|C0019829|C0024299|C0152013|C1335302|C0079744|C0149782|C0279680|C0001418|C0280631|C0026948|C0153452|C0024305|C0029463|C2239176|C0153392|C0023269|C1134719|C1168401|C0740345|C0026764|C0677886|C0079774|C0007137|C0030297
161,RISEDRONIC ACID,55685,Osteoporosis,MONDO:0005298,C0029456
162,EVARREST|EVITHROM|HUMAN THROMBIN|RECOTHROM|TACHOSIL|THROMBIN|Thrombin-JMI,10528,,,
163,Dyazide|HYDROCHLOROTHIAZIDE/TRIAMTERENE|HYDROCHLOROTHIAZIDE\TRIAMTERENE|MAXZIDE|TRIAMTERENE|TRIAMTERENE.,258337,Hypertension,MONDO:0005044,C0020538
164,IDELALISIB|ZYDELIG,1544460,Chronic lymphocytic leukaemia|B-cell lymphoma|Non-Hodgkin's lymphoma|Lymphoma|B-cell small lymphocytic lymphoma|Waldenstrom's macroglobulinaemia|Mantle cell lymphoma|Diffuse large B-cell lymphoma,MONDO:0004948|MONDO:0004095|MONDO:0011508|MONDO:0005062|MONDO:0004948|MONDO:0000432|MONDO:0018876|MONDO:0018905,C0023434|C0079731|C0024305|C0024299|C0855095|C0024419|C0334634|C0079744
165,NEUPRO|ROTIGOTINE,616739,Parkinson's disease|Restless legs syndrome,MONDO:0005180|MONDO:0005391,C0030567|C0035258
166,AMITIZA|LUBIPROSTONE,623033,Constipation|Irritable bowel syndrome,MONDO:0002203|MONDO:0005052,C0009806|C0022104
167,ABIRATERONE|ABIRATERONE ACETATE|ABIRATERONE ACETATE.|ZYTIGA,1100072,Prostate cancer|Neoplasm malignant|Bone cancer,MONDO:0008315|MONDO:0004992|MONDO:0002129,C0376358|C0006826|C0279530
168,ACARBOSE|ACARBOSE.|PRECOSE,16681,Type 2 diabetes mellitus,MONDO:0015122,C0011860
169,CHLORAMBUCIL|LEUKERAN,2346,Chronic lymphocytic leukaemia,MONDO:0004948,C0023434
170,FERAHEME|FERUMOXYTOL,473387,Iron deficiency anaemia|Anaemia,MONDO:0001356|MONDO:0002280,C0162316|C0002871
171,COSENTYX|SECUKINUMAB|SECUKINUMAB.,1599788,Psoriasis|Psoriatic arthropathy|Ankylosing spondylitis|Rheumatoid arthritis,MONDO:0005083|MONDO:0011849|MONDO:0005306|MONDO:0008383,C0033860|C0003872|C0038013|C0003873
172,AmBisome|AMPHOTERICIN B LIPOSOMAL|Liposomal amphotericin B,236594,Fungal infection|Mucormycosis|Aspergillus infection|Zygomycosis|Candida infection|Cryptococcosis|Visceral leishmaniasis|Coccidioidomycosis,MONDO:0015578|MONDO:0019136|MONDO:0005657|MONDO:0019136|MONDO:0002026|MONDO:0005724|MONDO:0005445|MONDO:0005706,C0026946|C0026718|C0004030|C0043541|C0006840|C0010414|C0023290|C0009186
173,LITHIUM|LITHIUM.,6448,Bipolar disorder|Depression|Schizoaffective disorder|Schizophrenia,MONDO:0004985|MONDO:0002050|MONDO:0005487|MONDO:0005090,C0005586|C0011570|C0036337|C0036341
174,BOCEPREVIR|VICTRELIS,1102129,Hepatitis C|Hepatic cirrhosis,MONDO:0005231|MONDO:0005155,C0019196|C0023890
175,BETMIGA|Mirabegron|Myrbetriq,1300786,Bladder disorder|Cystitis interstitial|Neurogenic bladder,MONDO:0006026|MONDO:0018301|MONDO:0001445,C0005686|C0282488|C0005697
176,CHLORDIAZEPOXIDE|CHLORDIAZEPOXIDE.|LIBRAX,2356,,,
177,CHLORHEXIDINE|CHLORHEXIDINE GLUCONATE|CHLORHEXIDINE GLUCONATE.|HIBICLENS|PERIDEX|PERIOCHIP|PERIOGARD|SCRUB-STAT,2358,,,
178,ODOMZO|SONIDEGIB,1659191,Basal cell carcinoma,MONDO:0005341,C0007117
179,BALSALAZIDE|BALSALAZIDE DISODIUM|BALSALAZIDE DISODIUM.|COLAZAL,18747,Colitis ulcerative,MONDO:0005101,C0009324
180,BENZOYL PEROXIDE|BENZOYL PEROXIDE.|PROACTIV|PROACTIV REPAIRING TREATMENT,1418,Acne,MONDO:0011438,C0702166
181,ACIPHEX|RABEPRAZOLE|RABEPRAZOLE SODIUM|RABEPRAZOLE SODIUM.,114979,Gastrooesophageal reflux disease,MONDO:0007186,C0017168
182,Alemtuzumab|Campath|LEMTRADA,117055,Multiple sclerosis|Relapsing-remitting multiple sclerosis|Chronic lymphocytic leukaemia|T-cell prolymphocytic leukaemia|Mycosis fungoides,MONDO:0005301|MONDO:0005314|MONDO:0004948|MONDO:0019468|MONDO:0009691,C0026769|C0751967|C0023434|C2363142|C0026948
183,AZOPT|BRINZOLAMIDE,194881,Glaucoma|Ocular hypertension|Open angle glaucoma,MONDO:0005041|MONDO:0006875|MONDO:0005338,C0017601|C0028840|C0017612
184,GLEOSTINE|LOMUSTINE|LOMUSTINE.,6466,Brain neoplasm malignant,MONDO:0001657,C0153633
185,IMODIUM|LOPERAMIDE|LOPERAMIDE HYDROCHLORIDE|LOPERAMIDE HYDROCHLORIDE.,6468,Irritable bowel syndrome|Drug withdrawal syndrome|Drug abuse,MONDO:0005052|MONDO:0005567|MONDO:0002491,C0022104|C0152128|C0013146
186,AMERGE|Naratriptan|NARATRIPTAN HYDROCHLORIDE|NARATRIPTAN HYDROCHLORIDE.,141366,Migraine,MONDO:0008000,C0149931
187,Ativan|LORAZEPAM|LORAZEPAM 1 MG|LORAZEPAM.,6470,Anxiety|Drug abuse|Insomnia|Depression|Sleep disorder|Schizophrenia,MONDO:0011918|MONDO:0002491|MONDO:0013600|MONDO:0002050|MONDO:0003406|MONDO:0005090,C0003467|C0013146|C0917801|C0011570|C0851578|C0036341
188,LOVASTATIN|LOVASTATIN.|MEVACOR,6472,,,
189,IBUTILIDE,41289,,,
190,ADASUVE|LOXAPINE|LOXAPINE.,6475,,,
191,ARMOUR THYROID|NATURE-THROID|NP THYROID|THYROID,10572,Hypothyroidism,MONDO:0015893,C0020676
192,IRON SUCROSE|VENOFER,24909,Iron deficiency anaemia|Anaemia,MONDO:0001356|MONDO:0002280,C0162316|C0002871
193,Arranon|Nelarabine,274771,T-cell type acute leukaemia|Precursor T-lymphoblastic lymphoma/leukaemia|Acute lymphocytic leukaemia,MONDO:0020512|MONDO:0003537|MONDO:0013108,C1961099|C1301359|C0023449
194,MACITENTAN|Opsumit,1442132,Pulmonary arterial hypertension|Pulmonary hypertension|Cor pulmonale chronic|Portopulmonary hypertension|Pulmonary embolism|Connective tissue disorder,MONDO:0015924|MONDO:0005149|MONDO:0001493|MONDO:0017154|MONDO:0005279|MONDO:0003900,C2973725|C0020542|C0238074|C1868851|C0034065|C0009782
195,LEVO-T|LEVOTHROID|LEVOTHYROXINE|LEVOTHYROXINE SODIUM|LEVOTHYROXINE SODIUM.|LEVOTHYROXINE.|Levoxyl|SYNTHROID|THYROXIN|THYROXINE|TIROSINT|UNITHROID,10582,Hypothyroidism|Thyroid disorder|Autoimmune thyroiditis|Thyroid cancer|Hyperthyroidism|Basedow's disease,MONDO:0015893|MONDO:0015125|MONDO:0007699|MONDO:0002108|MONDO:0015894|MONDO:0010138,C0020676|C0040128|C0920350|C0007115|C0020550|C0018213
196,BICNU|CARMUSTINE|GLIADEL,2105,Malignant glioma|Glioblastoma,MONDO:0015917|MONDO:0018177,C0555198|C0017636
197,POLYMYXIN B|POLYMYXIN B.,8536,,,
198,FLECAINIDE|Flecainide 100 mg|FLECAINIDE 100 MG.|Flecainide Acetate|FLECAINIDE ACETATE.|TAMBOCOR,4441,Atrial fibrillation|Arrhythmia,MONDO:0004981|MONDO:0007263,C0004238|C0003811
199,BARIUM,1311067,,,
200,CHLOROTHIAZIDE.,2396,,,
201,DIPYRIDAMOLE|DIPYRIDAMOLE.|PERSANTIN|PERSANTINE,3521,,,
202,BASAGLAR|INSULIN GLARGINE|LANTUS|LANTUS SOLOSTAR|SOLIQUA|TOUJEO,274783,Type 2 diabetes mellitus|Diabetes mellitus|Type 1 diabetes mellitus|Hyperglycaemia,MONDO:0015122|MONDO:0015122|MONDO:0009100|MONDO:0002909,C0011860|C0011849|C0011854|C0020456
203,FLUCLOXACILLIN,4448,,,
204,LENALIDOMIDE|LENALIDOMIDE 5 MG|REVLIMID,342369,Plasma cell myeloma|Myelodysplastic syndrome|Diffuse large B-cell lymphoma|Lymphoma|Mantle cell lymphoma|B-cell lymphoma|5q minus syndrome|Non-Hodgkin's lymphoma|Chronic lymphocytic leukaemia|Amyloidosis|Acute myeloid leukaemia|Myelofibrosis|Plasmacytoma|Plasma cell leukaemia|Hodgkin's disease|Adult T-cell lymphoma/leukaemia|Anaemia|Neoplasm malignant|Refractory anaemia with an excess of blasts|Prostate cancer|POEMS syndrome|Waldenstrom's macroglobulinaemia|Chronic myeloid leukaemia|Central nervous system lymphoma|Lymphoproliferative disorder|Chronic myelomonocytic leukaemia|Peripheral T-cell lymphoma unspecified|Myeloproliferative neoplasm|Myeloid leukaemia|Angioimmunoblastic T-cell lymphoma|Systemic lupus erythematosus|Leukaemia|Refractory cytopenia with multilineage dysplasia|Lymphocytic leukaemia|T-cell lymphoma|Brain neoplasm malignant|Mycosis fungoides,MONDO:0009693|MONDO:0018881|MONDO:0018905|MONDO:0005062|MONDO:0018876|MONDO:0004095|MONDO:0007925|MONDO:0011508|MONDO:0004948|MONDO:0019065|MONDO:0018874|MONDO:0009692|MONDO:0005615|MONDO:0018689|MONDO:0009348|MONDO:0019471|MONDO:0002280|MONDO:0004992|MONDO:0015692|MONDO:0008315|MONDO:0017364|MONDO:0000432|MONDO:0011996|MONDO:0002571|MONDO:0016537|MONDO:0020311|MONDO:0000430|MONDO:0020076|MONDO:0004643|MONDO:0004977|MONDO:0007915|MONDO:0005059|MONDO:0019453|MONDO:0001018|MONDO:0015760|MONDO:0001657|MONDO:0009691,C0026764|C3463824|C0079744|C0024299|C0334634|C0079731|C1292779|C0024305|C0023434|C0002726|C0023467|C0026987|C0032131|C0023484|C0019829|C0023493|C0002871|C0006826|C0002894|C0376358|C0085404|C0024419|C0023473|C0742472|C0024314|C0023480|C0079774|C0027022|C0023470|C0020981|C0024141|C0023418|C0796466|C0023448|C0079772|C0153633|C0026948
205,TICLID|TICLOPIDINE|TICLOPIDINE HYDROCHLORIDE|TICLOPIDINE HYDROCHLORIDE.,10594,,,
206,FLUCYTOSINE|FLUCYTOSINE.,4451,,,
207,CHLORPROPAMIDE|CHLORPROPAMIDE.,2404,,,
208,RITUXAN|RITUXAN HYCELA|RITUXIMAB|RITUXIMAB.,121191,Rheumatoid arthritis|Chronic lymphocytic leukaemia|B-cell lymphoma|Diffuse large B-cell lymphoma|Non-Hodgkin's lymphoma|Lymphoma|Granulomatosis with polyangiitis|Mantle cell lymphoma|Multiple sclerosis|Immune thrombocytopenic purpura|Systemic lupus erythematosus|Waldenstrom's macroglobulinaemia|Vasculitis|Pemphigus|Autoimmune haemolytic anaemia|Nephrotic syndrome|Central nervous system lymphoma|Neuromyelitis optica spectrum disorder|Acute lymphocytic leukaemia|Thrombotic thrombocytopenic purpura|Sjogren's syndrome|Microscopic polyangiitis|Thrombocytopenia|Dermatomyositis|Polymyositis|Burkitt's lymphoma|Neoplasm malignant|Arthritis|Post transplant lymphoproliferative disorder|Myasthenia gravis|Hairy cell leukaemia|Pemphigoid|Hodgkin's disease|Autoimmune disorder|Cryoglobulinaemia|Glomerulonephritis membranous|Lupus nephritis|Interstitial lung disease|Plasma cell myeloma|Graft versus host disease|Leukaemia|Chronic graft versus host disease|Marginal zone lymphoma|Castleman's disease|Scleroderma|Haemolytic anaemia,MONDO:0008383|MONDO:0004948|MONDO:0004095|MONDO:0018905|MONDO:0011508|MONDO:0005062|MONDO:0012105|MONDO:0018876|MONDO:0005301|MONDO:0008558|MONDO:0007915|MONDO:0000432|MONDO:0018882|MONDO:0006594|MONDO:0020108|MONDO:0005377|MONDO:0002571|MONDO:0019100|MONDO:0013108|MONDO:0018896|MONDO:0010030|MONDO:0019124|MONDO:0002049|MONDO:0016367|MONDO:0019127|MONDO:0007243|MONDO:0004992|MONDO:0005578|MONDO:0019088|MONDO:0009688|MONDO:0018935|MONDO:0019082|MONDO:0009348|MONDO:0007179|MONDO:0005576|MONDO:0005376|MONDO:0005556|MONDO:0015925|MONDO:0009693|MONDO:0013730|MONDO:0005059|MONDO:0020547|MONDO:0017604|MONDO:0015564|MONDO:0019340|MONDO:0020100,C0003873|C0023434|C0079731|C0079744|C0024305|C0024299|C3495801|C0334634|C0026769|C0398650|C0024141|C0024419|C0042384|C0030807|C0002880|C0027726|C0742472|C0027873|C0023449|C0034155|C1527336|C2347126|C0040034|C0011633|C0085655|C0006413|C0006826|C0003864|C0432487|C0026896|C0023443|C0030805|C0019829|C0004364|C0010403|C0017665|C0024143|C0206062|C0026764|C0018133|C0023418|C0867389|C1367654|C0017531|C0011644|C0002878
209,Betimol|ISTALOL|TIMOLOL MALEATE|TIMOLOL MALEATE.|TIMOPTIC,10600,Glaucoma,MONDO:0005041,C0017601
210,FLUMAZENIL|FLUMAZENIL.,4457,,,
211,CHLORZOXAZONE.|LORZONE|PARAFON FORTE DSC,2410,,,
212,Flunitrazepam,4460,,,
213,NITISINONE|ORFADIN,61805,Tyrosinaemia,MONDO:0004741,C0268483
214,FLUOCINONIDE|FLUOCINONIDE.|VANOS,4462,,,
215,AMLODIPINE-VALSARTAN|AMLODIPINE/VALSARTAN|EXFORGE,729455,Hypertension,MONDO:0005044,C0020538
216,HYOSCYAMINE|HYOSCYAMINE SULFATE|HYOSCYAMINE SULFATE.|HYOSCYAMINE.,153970,Irritable bowel syndrome,MONDO:0005052,C0022104
217,STAVUDINE|STAVUDINE.|ZERIT,59763,HIV infection|Acquired immunodeficiency syndrome,MONDO:0005109|MONDO:0012268,C0019693|C0001175
218,TINIDAZOLE|TINIDAZOLE.,10612,,,
219,ZONEGRAN|ZONISAMIDE|ZONISAMIDE.,39998,Epilepsy|Parkinson's disease|Migraine,MONDO:0005027|MONDO:0005180|MONDO:0008000,C0014544|C0030567|C0149931
220,LISINOPRIL 5 MG|PRINIVIL|ZESTRIL,29046,Hypertension,MONDO:0005044,C0020538
221,CISATRACURIUM|CISATRACURIUM BESYLATE|CISATRACURIUM BESYLATE.|CISATRACURIUM.|NIMBEX,319864,,,
222,ICLUSIG|PONATINIB,1364347,Chronic myeloid leukaemia|Acute lymphocytic leukaemia|Acute myeloid leukaemia|Myeloid leukaemia|Gastrointestinal stromal tumour,MONDO:0011996|MONDO:0013108|MONDO:0018874|MONDO:0004643|MONDO:0011719,C0023473|C0023449|C0023467|C0023470|C0238198
223,BETHKIS|TOBI|TOBRAMYCIN|TOBRAMYCIN SULFATE|TOBRAMYCIN SULFATE.|TOBRAMYCIN.|TOBREX|ZYLET,10627,Cystic fibrosis|Bronchiectasis|Chronic obstructive pulmonary disease|Conjunctivitis|Bacterial infection|Pneumonia,MONDO:0009061|MONDO:0004822|MONDO:0011751|MONDO:0003799|MONDO:0015575|MONDO:0005249,C0010674|C0006267|C0024117|C0009763|C0004623|C0032285
224,TEMSIROLIMUS|Torisel,657797,Renal cell carcinoma|Mantle cell lymphoma|Renal cancer|Neoplasm malignant,MONDO:0005549|MONDO:0018876|MONDO:0002367|MONDO:0004992,C0007134|C0334634|C0740457|C0006826
225,NAFCILLIN|NAFCILLIN SODIUM|NAFCILLIN SODIUM.,7233,,,
